5대범죄	5대범죄현황	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019	2019
5대범죄	5대범죄현황	합계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	발생	103,668	3,846	4,327	3,313	2,512	4,011	3,692	4,268	2,877	3,838	2,110	4,153	3,880	2,943	4,842	3,214	4,924	4,707	3,105	5,820	3,400	5,328	5,542	7,304	5,698	4,014
합계	검거	74,805	4,117	2,804	2,611	1,838	2,816	2,818	3,138	2,323	3,023	1,497	2,964	3,000	2,020	3,170	2,124	3,543	3,291	2,343	3,787	2,195	3,810	3,750	5,069	3,799	2,955
살인	발생	136	4	2	3	6	4	6	10	3	6	1	4	3	2	2	6	8	10	6	10	4	13	5	5	7	6
살인	검거	128	5	1	3	5	5	6	10	3	6	1	4	3	1	2	6	9	9	6	10	2	10	5	3	8	5
강도	발생	136	7	6	3	9	6	10	4	3	3	5	3	1	5	2	2	3	3	10	3	1	10	7	5	10	15
강도	검거	133	8	5	4	10	5	9	5	3	2	5	3	1	5	2	2	4	4	6	3	1	11	5	6	10	14
강간강제추행	발생	6,469	238	195	272	133	273	168	138	176	176	90	184	194	175	495	127	306	226	153	356	251	408	616	666	273	180
강간강제추행	검거	6,007	1,143	115	237	96	213	143	108	130	145	83	158	162	154	417	112	257	165	126	239	110	335	412	562	230	155
절도	발생	42,204	1,515	2,202	999	970	1,875	1,531	1,666	1,082	1,229	790	1,498	1,565	1,226	2,190	1,477	2,050	1,916	1,157	2,409	1,328	2,223	2,270	2,970	2,416	1,650
절도	검거	21,284	1,069	1,050	544	511	1,008	827	908	731	664	394	681	977	600	917	634	1,077	965	615	1,068	579	1,085	1,118	1,339	1,016	907
폭력	발생	54,723	2,082	1,922	2,036	1,394	1,853	1,977	2,450	1,613	2,424	1,224	2,464	2,117	1,535	2,153	1,602	2,557	2,552	1,779	3,042	1,816	2,674	2,644	3,658	2,992	2,163
폭력	검거	47,253	1,892	1,633	1,823	1,216	1,585	1,833	2,107	1,456	2,206	1,014	2,118	1,857	1,260	1,832	1,370	2,196	2,148	1,590	2,467	1,503	2,369	2,210	3,159	2,535	1,874
